Num,Reaction,Rate
232,CH4(v24) + H => CH3 + H2,9.86d-13 * (Tgas/298.)**3.00 * exp(-36.67/(R*Tgas))
233,CH4(v13) + H => CH3 + H2,9.86d-13 * (Tgas/298.)**3.00 * exp(-36.67/(R*Tgas))
234,CH4 + CH3 => H + C2H6,1.33d-10 * exp(-167.00/(R*Tgas))
235,CH4(v24) + CH3 => H + C2H6,1.33d-10 * exp(-167.00/(R*Tgas))
236,CH4(v13) + CH3 => H + C2H6,1.33d-10 * exp(-167.00/(R*Tgas))
237,CH4 + CH2 => C2H6,1.90d-12
238,CH4(v24) + CH2 => C2H6,1.90d-12
239,CH4(v13) + CH2 => C2H6,1.90d-12
240,CH4 => CH3 + H,2.40d16 * exp(-52800./Tgas)
241,CH4(v24) => CH3 + H,2.40d16 * exp(-52800./Tgas)
242,CH4(v13) => CH3 + H,2.40d16 * exp(-52800./Tgas)
243,CH3 => CH2 + H,1.69d-8 * exp(-379./(R*Tgas))
244,CH3 => CH + H2,6.97d-9 * exp(-345./(R*Tgas))
245,CH3 + C2H5 => C2H6 + CH2,3.00d-44 * Tgas**9.10
246,CH2 + CH2 => C2H2 + H2,3.32d-10 * exp(-45.98/(R*Tgas))
247,CH2 + C2H5 => C2H4 + CH3,3.01d-11
248,CH2 + C2H3 => C2H2 + CH3,3.01d-11
249,CH2 + C3H8 => C3H7 + CH3,1.61d-15 * (Tgas/298.)**3.65 * exp(-29.93/(R*Tgas))
250,CH2 + C3H8(v1) => C3H7 + CH3,1.61d-15 * (Tgas/298.)**3.65 * exp(-29.93/(R*Tgas))
251,CH2 + C3H8(v2) => C3H7 + CH3,1.61d-15 * (Tgas/298.)**3.65 * exp(-29.93/(R*Tgas))
252,CH2 + C3H7 => C2H4 + C2H5,3.01d-11
253,CH2 + C3H7 => C3H6 + CH3,3.01d-11
254,CH2 + H2 => CH3 + H,8.30d-19 * Tgas**2.00 * exp(-3938.65/Tgas)
255,CH2 + H => CH + H2,1.00d-11 * exp(7.48/(R*Tgas))
256,CH2 => CH + H,6.64d-9 * exp(-348./(R*Tgas))
257,CH2 + CH2 => C2H2 + H2,2.66d-9 * exp(-6011.07/Tgas)
258,CH2 + H => CH3,9.96d-10
259,CH + C2H6 => C3H6 + H,3.00d-11
260,CH + C2H6(v24) => C3H6 + H,3.00d-11
261,CH + C2H6(v13) => C3H6 + H,3.00d-11
262,CH + C2H6 => C3H7,1.14d-29
263,CH + C2H6(v24) => C3H7,1.14d-29
264,CH + C2H6(v13) => C3H7,1.14d-29
265,CH + H2 => CH2 + H,1.79d-10 * exp(-1565.17/Tgas)
266,CH + CH3 => C2H3 + H,4.98d-11
267,CH + CH2 => C2H2 + H,6.64d-11
268,CH + H2 => CH3,3.29d-12 * Tgas**0.43 * exp(186.21/Tgas)
269,CH + C2H3 => CH2 + C2H2,8.30d-11
270,C2H6 + C2H3 => C2H5 + C2H4,1.46d-13 * (Tgas/298.)**3.30 * exp(-43.90/(R*Tgas))
271,C2H6(v24) + C2H3 => C2H5 + C2H4,1.46d-13 * (Tgas/298.)**3.30 * exp(-43.90/(R*Tgas))
272,C2H6(v13) + C2H3 => C2H5 + C2H4,1.46d-13 * (Tgas/298.)**3.30 * exp(-43.90/(R*Tgas))
273,C2H6 + C3H7 => C3H8 + C2H5,1.19d-15 * (Tgas/298.)**3.82 * exp(-37.83/(R*Tgas))
274,C2H6(v24) + C3H7 => C3H8 + C2H5,1.19d-15 * (Tgas/298.)**3.82 * exp(-37.83/(R*Tgas))
275,C2H6(v13) + C3H7 => C3H8 + C2H5,1.19d-15 * (Tgas/298.)**3.82 * exp(-37.83/(R*Tgas))
276,C2H6 + H => C2H5 + H2,1.23d-11 * (Tgas/298.)**1.50 * exp(-31.01/(R*Tgas))
277,C2H6(v24) + H => C2H5 + H2,1.23d-11 * (Tgas/298.)**1.50 * exp(-31.01/(R*Tgas))
278,C2H6(v13) + H => C2H5 + H2,1.23d-11 * (Tgas/298.)**1.50 * exp(-31.01/(R*Tgas))
279,C2H6 + H => CH4 + CH3,8.97d-20 * exp(-48.64/(R*Tgas))
280,C2H6(v24) + H => CH4 + CH3,8.97d-20 * exp(-48.64/(R*Tgas))
281,C2H6(v13) + H => CH4 + CH3,8.97d-20 * exp(-48.64/(R*Tgas))
282,C2H6 => CH3 + CH3,1.80d21 * Tgas**-1.24 * exp(-45700./Tgas)
283,C2H6(v24) => CH3 + CH3,1.80d21 * Tgas**-1.24 * exp(-45700./Tgas)
284,C2H6(v13) => CH3 + CH3,1.80d21 * Tgas**-1.24 * exp(-45700./Tgas)
285,C2H6 + CH => C2H4 + CH3,1.79d-10 * exp(132.36/Tgas)
286,C2H6(v24) + CH => C2H4 + CH3,1.79d-10 * exp(132.36/Tgas)
287,C2H6(v13) + CH => C2H4 + CH3,1.79d-10 * exp(132.36/Tgas)
288,C2H6 + CH2 => C2H5 + CH3,9.00d-33 * Tgas**6.43
289,C2H6(v24) + CH2 => C2H5 + CH3,9.00d-33 * Tgas**6.43
290,C2H6(v13) + CH2 => C2H5 + CH3,9.00d-33 * Tgas**6.43
291,C2H5 + C2H5 => C2H6 + C2H4,2.41d-12
292,C2H5 + C2H4 => C2H6 + C2H3,5.83d-14 * (Tgas/298.)**3.13 * exp(-75.33/(R*Tgas))
293,C2H5 + C2H4(v1) => C2H6 + C2H3,5.83d-14 * (Tgas/298.)**3.13 * exp(-75.33/(R*Tgas))
294,C2H5 + C2H4(v2) => C2H6 + C2H3,5.83d-14 * (Tgas/298.)**3.13 * exp(-75.33/(R*Tgas))
295,C2H5 + C2H2 => C2H6 + C2H,4.50d-13 * exp(-98.11/(R*Tgas))
296,C2H5 + C2H2(v5) => C2H6 + C2H,4.50d-13 * exp(-98.11/(R*Tgas))
