,0
e + C2H4 => e + e + CH2 + CH2^+,1.8507e+16
e + C2H4(v1) => e + e + C2H4^+,1.842700004144809e+16
CH4(v13) + C2H3 => C2H4 + CH3,1.666373353e+16
C2H6 + C2H2^+ => C2H3 + C2H5^+,1.650168295491239e+16
CH4(v24) + C2H3 => C2H4 + CH3,1.609128225e+16
CH + CH3^+ => H2 + C2H2^+,1.4381000954387854e+16
e + C2H4(v1) => e + C2H2 + H + H,1.2380004469005036e+16
C3H7 + H => C3H6 + H2,1.080666009418e+16
e + C2H3 => e + e + CH + CH2^+,1.0565e+16
C2H2(v5) + CH3 => C3H5,9470280548300000.0
CH4(v24) + CH^+ => H + C2H4^+,9095000000919946.0
CH4(v13) + CH^+ => H + C2H4^+,8694000001046954.0
e + C2H4(v2) => e + C2H2 + H2,7487607627332308.0
C2H4(v1) + CH4^+ => CH4 + C2H4^+,7473334375537360.0
e + C2H4(v2) => e + C2H3 + H,5957301173035250.0
e + C2H6(v24) => e + C2H5 + H,5930401675743105.0
e + C2H6(v13) => e + C2H5 + H,5616016711457150.0
e + C2H2 => e + e + CH + CH^+,5508400000000000.0
e + C2H4(v2) => e + e + C2H4^+,5348900011757299.0
e + C2H3 => e + e + CH2 + CH^+,5345800000000000.0
e + C2H6(v24) => e + C2H2 + H2 + H2,5230118422072205.0
e + C2H4(v1) => e + e + H + C2H3^+,5085800000274659.0
e + C2H6(v13) => e + C2H2 + H2 + H2,4992980180601248.0
e + C2H6(v24) => e + e + H2 + C2H4^+,4580947283694006.0
C2H6(v24) + CH4^+ => CH4 + H2 + C2H4^+,4552967131624943.0
e + C2H6(v13) => e + e + H2 + C2H4^+,4327856682596523.0
C2H6(v13) + CH4^+ => CH4 + H2 + C2H4^+,4307177947794708.0
e + CH^+ => C + H,4263200000000001.5
C3H7 + H => CH3 + C2H5,3944428708039000.0
C2H6 + CH2 => C2H5 + CH3,3911626396159693.5
C2H4(v1) + C2H3^+ => C2H2 + C2H5^+,3692434872878800.0
e + C2H4(v2) => e + C2H2 + H + H,3593701253245661.5
e + C2H6(v24) => e + CH3 + CH3,3429749144684680.0
e + C2H6(v13) => e + CH3 + CH3,3267262252641242.5
CH2 + CH2 => C2H2 + H2,3177437155025362.5
C2H2(v2) + CH3 => C3H5,3099094390900000.0
C2H6(v24) + C2H3^+ => C2H4 + C2H5^+,2625197610000000.0
CH4(v24) + CH2 => CH3 + CH3,2568564018071925.0
CH4(v13) + CH2 => CH3 + CH3,2453363823760575.5
e + C2H2(v5) => e + e + C2H2^+,2423200996512365.5
e + C2H6 => e + e + CH4 + CH2^+,2319300000000000.0
C2H4(v1) + CH4^+ => CH3 + C2H5^+,2290684357735954.0
e + C2H6(v24) => e + e + C2H6^+,2248699565657888.8
e + C2H6(v24) => e + CH4 + CH2,2214370385457703.8
C2H4(v2) + CH4^+ => CH4 + C2H4^+,2153441106046871.0
e + C2H6(v13) => e + e + C2H6^+,2124537991535443.5
C2H2(v13) + CH3 => C3H5,2118493694300000.0
e + C2H6(v13) => e + CH4 + CH2,2100435711197101.5
C2H3 + H2 => C2H4 + H,2002740503000000.0
C2H6(v13) + C2H3^+ => C2H4 + C2H5^+,1865431200000000.0
e + C2H4(v1) => e + CH3 + CH,1646600034761293.2
e + C2H4(v1) => e + CH2 + CH2,1497100024918967.0
e + C2H4(v2) => e + e + H + C2H3^+,1476300000078004.5
C2H5 + H2 => C2H6 + H,1276397626900000.0
CH4 + C2H5 => C2H6 + CH3,1081830248400000.0
e + C2H6(v24) => e + e + H + C2H5^+,1053009316549544.4
e + C2H6(v13) => e + e + H + C2H5^+,994789905067750.8
e + C2H4 => e + e + CH3 + CH^+,991150000000000.0
C2H2(v5) + CH4^+ => CH3 + C2H3^+,988153878124171.6
C2H6(v24) + CH3^+ => CH4 + C2H5^+,953325064560395.0
e + C2H6(v24) => e + e + H2 + H + C2H3^+,917490810669813.1
C2H2(v5) + CH4^+ => CH4 + C2H2^+,907810032075714.9
C4H9H + CH2 => C5H12,903292154476380.4
C2H6(v13) + CH3^+ => CH4 + C2H5^+,900657006688868.0
C2H4(v2) + C2H3^+ => C2H2 + C2H5^+,881151961343850.0
e + C2H2(v2) => e + e + C2H2^+,873500366000971.8
e + C2H6(v13) => e + e + H2 + H + C2H3^+,866800861037533.8
C2H4(v2) + CH4^+ => CH3 + C2H5^+,660075681442357.8
C2H4(v1) + CH3^+ => CH4 + C2H3^+,540691137396457.7
e + C2H2(v13) => e + e + C2H2^+,536560242206602.5
C2H6(v24) + CH => C2H4 + CH3,523692114854354.0
C2H6(v13) + CH => C2H4 + CH3,493727558758255.94
e + C2H4(v2) => e + CH3 + CH,477950009838168.0
C2H4(v1) + CH3 => C3H7,467455134000000.0
e + C3H8 => e + C3H8(v1),465264579725000.0
e + C2H4(v2) => e + CH2 + CH2,434560007054873.8
CH2 + H2 => CH3 + H,409286859296632.1
e + C2H6(v24) => e + e + H2 + H2 + C2H2^+,408460057190329.6
e + C3H6 => e + C3H6(v),388601824880000.0
e + C2H6(v13) => e + e + H2 + H2 + C2H2^+,385900060680487.6
e + C2H6(v24) => e + C2H3 + H2 + H,384637533664158.44
e + C2H6(v13) => e + C2H3 + H2 + H,363458513667700.7
e + C3H8 => e + C3H8(v2),355967794631876.7
C2H2(v2) + CH4^+ => CH3 + C2H3^+,344676521976433.9
C2H2(v2) + CH4^+ => CH4 + C2H2^+,316651283107492.5
C2H2(v13) + CH4^+ => CH3 + C2H3^+,212202924877686.5
C2H2(v13) + CH4^+ => CH4 + C2H2^+,194953403247262.8
C2H4(v2) + CH3^+ => CH4 + C2H3^+,156950316591764.8
e + C2H6(v24) => e + e + CH3 + CH3^+,150230003166421.56
e + C2H6(v13) => e + e + CH3 + CH3^+,141930003361522.94
C2H4 + C2H6^+ => C2H6 + C2H4^+,129615109531494.22
H + C2H6^+ => H2 + C2H5^+,123533300499969.2
e + C2H2(v5) => e + CH + CH,114407928737930.16
C2H4(v2) + CH3 => C3H7,89348859170000.0
e + C3H6 => e + C2H2 + CH4,75832563852174.3
C3H6(v) + H => C3H7,73404931220000.0
C2H4(v1) + C2H2^+ => C2H2 + C2H4^+,65691187495289.08
CH + C2H6(v24) => C3H6 + H,63043594443630.36
C2H6 + C2H3 => C2H5 + C2H4,60490569200000.0
CH + C2H6(v13) => C3H6 + H,59434836936565.67
e + C3H8 => e + C3H6 + H2,57221570346245.75
e + C2H6^+ => C2H4 + H + H,56489960741869.375
C2H4(v1) + H => C2H3 + H2,47587266611741.0
e + C2H2(v2) => e + CH + CH,41241604951631.82
CH4(v24) + H^+ => H2 + CH3^+,39404000000000.0
CH4(v13) + H^+ => H2 + CH3^+,37667000000000.0
e + C2H6^+ => C2H5 + H,36819608252245.625
C2H5 + C3H7 => C3H6 + C2H6,33616529554930.0
C2H5 + C3H7 => C3H8 + C2H4,26642147621320.0
CH4(v24) + H^+ => H + CH4^+,25698000000000.0
