exp,V,E,t,VF,VA,VB,CF_LA,CA_LA,CF_K,CB_K,I
12,30,0.25,2.0,1.0927318295739348,0.9824561403508771,1.9248120300751879,2.7070908499999997,0.042623442346939294,4.463336399999999,0.5833142312500005,2.3
12,30,0.25,3.0,1.0606060606060608,1.0,1.9393939393939394,2.5794213,0.26425013636363603,3.7381625,1.0494423828124995,2.7
12,30,0.25,4.0,0.9746192893401016,1.0253807106598984,1.9999999999999998,2.3345130999999997,0.7067994297029704,3.1067961,1.4860282964467006,2.9
12,30,0.25,5.0,0.8329297820823245,1.0653753026634383,2.101694915254237,2.3362176,0.9894116945454544,2.5680968999999996,1.8370675880184335,2.9
13,20,0.25,0.0,1.0,1.0,2.0,3.0,0.0,6.0,0.0,0.1
13,20,0.25,3.0,1.2040816326530615,0.9081632653061223,1.8877551020408163,2.48736835,0.005511625842695996,4.5897208,0.25088078702702626,1.4
13,20,0.25,4.0,1.22007722007722,0.8957528957528959,1.8841698841698842,2.44424435,0.019908557758620896,4.2160695,0.4543484385245904,1.6
13,20,0.25,5.0,1.2093023255813953,0.9095607235142119,1.8811369509043927,2.32314005,0.20957516079545452,3.8064880000000003,0.7425324395604395,1.7
13,20,0.25,6.0,1.1560102301790283,0.9104859335038364,1.933503836317136,2.19395605,0.5093591724719096,3.4846375,1.019766997354497,1.7
13,20,0.25,7.0,1.1237113402061856,0.9175257731958762,1.9587628865979383,2.110342,0.6850867640449438,3.2069175000000003,1.2233999605263155,1.7
14,30,0.25,0.0,1.0,1.0,3.0,3.0,0.0,6.0,0.0,0.2
14,30,0.25,1.0,1.0869565217391304,0.9584980237154149,2.9545454545454546,2.68015055,0.09055092268041262,5.173214,0.12758013377926433,1.5
14,30,0.25,3.0,1.0679611650485437,0.9514563106796116,2.9805825242718447,2.3193781,0.5496776428571426,3.59907,0.7234602605863192,2.6
14,30,0.25,4.0,0.9882583170254403,0.9882583170254403,3.0234833659491196,2.1932195,0.8424240643564356,2.883632,1.0419196375404531,2.8
14,30,0.25,5.0,0.8982035928143712,1.097804391217565,3.0039920159680644,1.9788666,1.1136546,2.255024,1.3230825249169431,2.9
14,30,0.25,6.0,0.7831325301204818,1.1947791164658632,3.0220883534136544,1.95268415,1.2310137504201686,1.77867968,1.5244617440531563,2.7
14,30,0.25,7.0,0.5864197530864198,1.2242798353909463,3.189300411522634,1.311233,1.8223505798319328,1.42585658,1.6191166933548387,2.5
15,20,0.25,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.1
15,20,0.25,2.0,1.0891089108910892,0.9405940594059407,1.9702970297029703,0.891143435,0.03130760157894729,1.526384,0.1713455276381909,0.6
15,20,0.25,4.0,1.0845771144278606,0.9353233830845771,1.980099502487562,0.797710235,0.14414451473404252,1.003507,0.4603906381909549,0.9
15,20,0.25,9.0,0.8215158924205379,1.0268948655256724,2.15158924205379,0.07675239000000002,0.9124076118095237,0.279929242,0.8226633803272726,0.5
16,10,0.25,0.0,1.0,1.0,2.0,3.0,0.0,6.0,0.0,0.0
16,10,0.25,1.0,1.1231527093596056,0.9458128078817734,1.9310344827586206,2.71328125,-0.050146484374999266,5.212554,0.07535124489796008,0.4
16,10,0.25,3.0,1.287128712871287,0.8613861386138614,1.8514851485148514,2.38100335,-0.07506247701149353,4.171882,0.340402887700535,0.4
16,10,0.25,4.0,1.3634085213032583,0.8220551378446117,1.8145363408521304,2.24895195,-0.08057884390243943,3.6296319999999995,0.5793925303867402,0.4
16,10,0.25,5.0,1.443609022556391,0.7719298245614035,1.7844611528822054,2.1447426,-0.1245835636363632,3.516864,0.5172560898876407,0.4
16,10,0.25,7.0,1.5408163265306123,0.7040816326530613,1.7551020408163265,2.02601445,-0.1728722021739131,3.1915299999999998,0.6167381976744186,0.3
17,30,0.25,0.0,1.0,1.0,6.0,3.0,0.0,6.0,0.0,0.1
17,30,0.25,1.0,1.090909090909091,1.0,5.909090909090909,2.84585255,-0.10456641818181867,4.86824,0.11663261538461529,1.7
17,30,0.25,3.0,1.0922882427307206,1.0417193426042983,5.86599241466498,2.47908475,0.28042569902912606,3.262016,0.4154349517241381,2.5
17,30,0.25,4.0,1.0,1.0816326530612246,5.918367346938775,2.442183,0.5157176037735849,2.654336,0.5653018482758622,2.6
17,30,0.25,5.0,0.8934010152284264,1.1675126903553301,5.939086294416244,2.1456427500000004,0.927682069565217,2.12888,0.6900146324786324,2.6
17,30,0.25,6.0,0.7487179487179488,1.3025641025641028,5.948717948717949,1.8083511500000002,1.2637036696850388,1.6724244200000002,0.7981258919655171,2.4
17,30,0.25,7.0,0.5801526717557253,1.4147582697201018,6.005089058524172,1.3249668000000001,1.577171887769784,1.3652825000000002,0.8672523686440679,2.0
17,30,0.25,8.0,0.38578680203045684,1.5228426395939085,6.091370558375634,0.6900758500000002,1.7951807846666668,0.9958632,0.9219286640000001,1.8
18,20,0.25,0.0,1.0,1.0,2.0,3.0,0.0,6.0,0.0,0.1
18,20,0.25,1.0,1.0972568578553616,0.9875311720698254,1.915211970074813,2.6260015500000002,0.12009928787878757,4.96495,0.288309895833333,0.7
18,20,0.25,4.0,1.2,0.95,1.8499999999999999,2.0272416,0.5971685052631579,3.608469999999999,0.9026140540540547,1.1
