exp,Voltage [V],Electrolyte [M],Ci_LA [M],Ci_K [M],Time [hr],CF_LA [M],CA_LA [M],CB_LA [M],CF_K [M],CA_K [M],CB_K [M],pH_F,pH_A,pH_B,VF_Tank [L],VA_Tank [L],VB_Tank [L],VF_Line [L],VA_Line [L],VB_Line [L],SEC [kWh/kg],Current [A]
33,30,0.25,1,2,0,1.009335235,-0.005888195,-0.006195,2.08142,0.003771412,0.012944611,13.945,9.426,11.565,0.8,0.8,1.85,0.2,0.2,0.15,0,0.1
33,30,0.25,1,2,2,0.93057117,0.04160656,-0.00427929,1.47042,0.008713208,0.163416,14.048,3.385,13.423,0.9,0.8,1.8,0.2,0.2,0.15,4.674918308,1
33,30,0.25,1,2,3,0.873920705,0.11004742,-0.002969835,1.067495,0.011055614,0.29958776,13.882,3.051,13.549,0.85,0.82,1.8,0.2,0.2,0.15,3.503733946,1.2
33,30,0.25,1,2,4,0.777511405,0.21881746,-0.00093827,0.66938,0.013679833,0.46799446,13.61,2.917,13.683,0.8,0.82,1.85,0.2,0.2,0.15,2.76766592,1.3
33,30,0.25,1,2,5,0.653966955,0.357873085,0.00171729,0.3981272,0.016119392,0.61701944,13.24,2.692,13.774,0.7,0.88,1.85,0.2,0.2,0.15,2.174071077,1.2
33,30,0.25,1,2,6,0.50891797,0.53300082,0.005449975,0.2296952,0.018442682,0.74839864,12.637,2.607,13.822,0.6,0.9,1.9,0.2,0.2,0.15,1.777882497,1
34,30,0.25,0.5,1,0,0.5067999,-0.00563047,-0.00544475,1.0022958,0.003707261,0.011848421,13.711,4.657,11.036,0.8,0.8,1.85,0.2,0.2,0.15,0,0.1
34,30,0.25,0.5,1,2,0.45419496,0.035601345,-0.0040366,0.6054728,0.007870114,0.11560886,13.522,3.266,13.207,0.8,0.8,1.85,0.2,0.2,0.15,2.33341112,0.7
34,30,0.25,0.5,1,3,0.388299295,0.110820705,-0.003230925,0.3119462,0.010777119,0.22420806,13.213,2.991,13.405,0.8,0.8,1.85,0.2,0.2,0.15,1.641257859,0.9
34,30,0.25,0.5,1,4,0.24234008,0.247246465,-0.001872095,0.126695,0.014233802,0.33396544,12.296,2.695,13.574,0.7,0.85,1.9,0.2,0.2,0.15,1.089940006,0.8
