Reaction	Value
C2H4 => C2H3 + H	4.30d-7 * exp(-404./(R*Tgas))
C2H4(v1) => C2H3 + H	4.30d-7 * exp(-404./(R*Tgas))
C2H4(v2) => C2H3 + H	4.30d-7 * exp(-404./(R*Tgas))
C2H4 + C2H2 => C2H3 + C2H3	4.00d-11 * exp(-286./(R*Tgas))
C2H4(v1) + C2H2 => C2H3 + C2H3	4.00d-11 * exp(-286./(R*Tgas))
C2H4(v2) + C2H2 => C2H3 + C2H3	4.00d-11 * exp(-286./(R*Tgas))
C2H4 + C2H2(v5) => C2H3 + C2H3	4.00d-11 * exp(-286./(R*Tgas))
C2H4 + C2H2(v2) => C2H3 + C2H3	4.00d-11 * exp(-286./(R*Tgas))
C2H4 + C2H2(v13) => C2H3 + C2H3	4.00d-11 * exp(-286./(R*Tgas))
C2H4 + C3H6 => C2H3 + C3H7	1.00d-10 * exp(-316./(R*Tgas))
C2H4(v1) + C3H6 => C2H3 + C3H7	1.00d-10 * exp(-316./(R*Tgas))
C2H4(v2) + C3H6 => C2H3 + C3H7	1.00d-10 * exp(-316./(R*Tgas))
C2H4 + C3H6(v) => C2H3 + C3H7	1.00d-10 * exp(-316./(R*Tgas))
C2H4 + C2H4 => C2H5 + C2H3	8.00d-10 * exp(-299./(R*Tgas))
C2H4(v1) + C2H4(v1) => C2H5 + C2H3	8.00d-10 * exp(-299./(R*Tgas))
C2H4(v2) + C2H4(v2) => C2H5 + C2H3	8.00d-10 * exp(-299./(R*Tgas))
C2H4 + CH3 => C3H7	4.23d-18 * Tgas**1.60 * exp(-2868.65/Tgas)
C2H4(v1) + CH3 => C3H7	4.23d-18 * Tgas**1.60 * exp(-2868.65/Tgas)
C2H4(v2) + CH3 => C3H7	4.23d-18 * Tgas**1.60 * exp(-2868.65/Tgas)
C2H4 => C2H2 + H2	8.00d12*Tgas**0.44*exp(-44675.39/Tgas)
C2H4(v1) => C2H2 + H2	8.00d12*Tgas**0.44*exp(-44675.39/Tgas)
C2H4(v2) => C2H2 + H2	8.00d12*Tgas**0.44*exp(-44675.39/Tgas)
C2H4 + H2 => C2H6	4.75d-16*exp(-180./(R*Tgas))
C2H4(v1) + H2 => C2H6	4.75d-16*exp(-180./(R*Tgas))
C2H4(v2) + H2 => C2H6	4.75d-16*exp(-180./(R*Tgas))
C2H4 + CH2 => C3H6	5.30d-12*exp(-2660./Tgas)
C2H4(v1) + CH2 => C3H6	5.30d-12*exp(-2660./Tgas)
C2H4(v2) + CH2 => C3H6	5.30d-12*exp(-2660./Tgas)
C2H3 + C2H3 => C2H4 + C2H2	3.50d-11
C2H3 + C3H8 => C2H4 + C3H7	1.46d-13*(Tgas/298.)**3.30*exp(-43.90/(R*Tgas))
C2H3 + C3H8(v1) => C2H4 + C3H7	1.46d-13*(Tgas/298.)**3.30*exp(-43.90/(R*Tgas))
C2H3 + C3H8(v2) => C2H4 + C3H7	1.46d-13*(Tgas/298.)**3.30*exp(-43.90/(R*Tgas))
C2H3 + C3H7 => C3H8 + C2H2	2.01d-12
C2H3 + C3H7 => C3H6 + C2H4	2.01d-12
C2H3 + H2 => C2H4 + H	1.61d-13*(Tgas/298.)**2.63*exp(-35.75/(R*Tgas))
C2H3 + H => C2H2 + H2	1.60d-10
C2H3 + H => C2H4	1.01d-11*Tgas**0.27*exp(-140.92/Tgas)
C2H3 => C2H2 + H	2.00d14*exp(-20000./Tgas)
C2H2 + H => C2H3	9.30d-12*exp(-1207.85/Tgas)
C2H2(v5) + H => C2H3	9.30d-12*exp(-1207.85/Tgas)
C2H2(v2) + H => C2H3	9.30d-12*exp(-1207.85/Tgas)
C2H2(v13) + H => C2H3	9.30d-12*exp(-1207.85/Tgas)
C2H2 + H2 => C2H4	5.00d-13*exp(-163./(R*Tgas))
C2H2(v5) + H2 => C2H4	5.00d-13*exp(-163./(R*Tgas))
C2H2(v2) + H2 => C2H4	5.00d-13*exp(-163./(R*Tgas))
C2H2(v13) + H2 => C2H4	5.00d-13*exp(-163./(R*Tgas))
C2H2 + H2 => C2H3 + H	4.00d-12*exp(-272./(R*Tgas))
C2H2(v5) + H2 => C2H3 + H	4.00d-12*exp(-272./(R*Tgas))
C2H2(v2) + H2 => C2H3 + H	4.00d-12*exp(-272./(R*Tgas))
C2H2(v13) + H2 => C2H3 + H	4.00d-12*exp(-272./(R*Tgas))
C2H2 + CH3 => C3H5	1.58d-5*(Tgas/298.)**-8.58*exp(-84.81/(R*Tgas))
C2H2(v5) + CH3 => C3H5	1.58d-5*(Tgas/298.)**-8.58*exp(-84.81/(R*Tgas))
C2H2(v2) + CH3 => C3H5	1.58d-5*(Tgas/298.)**-8.58*exp(-84.81/(R*Tgas))
C2H2(v13) + CH3 => C3H5	1.58d-5*(Tgas/298.)**-8.58*exp(-84.81/(R*Tgas))
C3H8 + H => C3H7 + H2	2.19d-180*Tgas**2.54*exp(-3400.10/Tgas)
C3H8(v1) + H => C3H7 + H2	2.19d-180*Tgas**2.54*exp(-3400.10/Tgas)
