exp,V,E,t,VF,VA,VB,CFLA,CALA,CFK,CBK,I
35,20,0.25,4.0,1.3,0.8999999999999999,1.7999999999999998,2.241215980934286,0.0731191349292397,3.63642290363462,0.5107662410950603,0.7
35,20,0.25,4.25,1.3102389254522988,0.9010626574307304,1.788800733081829,2.213497417646141,0.08406000299030965,3.5513259022659978,0.5522101623246171,0.7272629310344828
35,20,0.25,4.5,1.3199255044042824,0.9034005037783375,1.7767649393416984,2.1877394347311903,0.09811998429067398,3.4725627750997923,0.5972054120121474,0.7603448275862069
35,20,0.25,4.75,1.3271430339249057,0.9057383501259446,1.7671527212707694,2.1661263365262857,0.11290524390433601,3.3992181159481336,0.6436110367897241,0.7882543103448276
35,20,0.25,5.0,1.3299748110831235,0.906801007556675,1.7632241813602016,2.1508424273682767,0.1260219469052991,3.330376518623153,0.6892860832894196,0.8
35,20,0.25,5.25,1.3299748110831235,0.906801007556675,1.7632241813602016,2.141706089281957,0.13669360511630133,3.267190712285361,0.7341551552601396,0.8
35,20,0.25,5.5,1.3299748110831235,0.906801007556675,1.7632241813602016,2.135331611885702,0.14637802159715815,3.208967505576804,0.7791949367230488,0.8
35,20,0.25,5.75,1.3299748110831235,0.906801007556675,1.7632241813602016,2.129097160906736,0.15603279827748914,3.1520226115319168,0.8238425947186078,0.8
35,20,0.25,6.0,1.3299748110831235,0.906801007556675,1.7632241813602016,2.120380902072284,0.1666155370869138,3.092671743185135,0.8675352962872777,0.8
35,20,0.25,6.25,1.333704708389847,0.9061389911515856,1.7601563004585674,2.1070555983278316,0.17733239152269803,3.028985472694224,0.9097529421097785,0.815625
35,20,0.25,6.5,1.3419104824646386,0.9046825550603889,1.7534069624749724,2.0894286632852084,0.18813303072784868,2.963179576142215,0.9509531092207747,0.85
35,20,0.25,6.75,1.3501162565394302,0.903226118969192,1.7466576244913776,2.0685302386711526,0.20109033010059665,2.8977875724514472,0.9920394791916434,0.884375
35,20,0.25,7.0,1.3538461538461537,0.9025641025641026,1.7435897435897434,2.0453904662124027,0.2182771650391728,2.835342980544254,1.0339157335937623,0.9
35,20,0.25,7.25,1.3538461538461537,0.9025641025641026,1.7435897435897434,2.0188279612275117,0.24593704676443748,2.7760906179739897,1.0767486528582195,0.9
35,20,0.25,7.5,1.3538461538461537,0.9025641025641026,1.7435897435897434,1.9874666051454126,0.28678683066043464,2.718650811715615,1.120096684185781,0.9
35,20,0.25,7.75,1.3538461538461537,0.9025641025641026,1.7435897435897434,1.952044438858417,0.3376094083701705,2.6631203448238767,1.1639510093023429,0.9
35,20,0.25,8.0,1.3538461538461537,0.9025641025641026,1.7435897435897434,1.913299503258837,0.3951876715366513,2.6095960003535215,1.2083028099338005,0.9
36,30,0.25,0.0,1.0,1.0,3.0,3.15617815,0.0011274149999999,5.50905,0.017510033,0.0
36,30,0.25,0.25,1.0190095328099833,0.9964086455242334,2.985123239505649,3.094976970260393,0.0056431214961732,5.340998908957833,0.04123058028171789,0.2096765350877193
36,30,0.25,0.5,1.0374614995458515,0.9937098170128585,2.9699327164076617,3.0350144501429677,0.012365798727600196,5.17662185703776,0.06670112423917743,0.40460526315789475
36,30,0.25,0.75,1.055374172057592,0.9917760107566765,2.954449718516234,2.9762389936706453,0.0210170489331707,5.015771174476243,0.0937709036936571,0.5836348684210526
36,30,0.25,1.0,1.072765822195193,0.9904797230464886,2.938695533641561,2.9185990048663464,0.031318474351774525,4.8582991915097455,0.12228915746643537,0.7456140350877192
36,30,0.25,1.25,1.0896547218086419,0.9896934501730958,2.9226914495938403,2.8620428877529913,0.04299167722230147,4.7040582383747305,0.15210512437879078,0.8893914473684211
36,30,0.25,1.5,1.106059142747927,0.9892896884272996,2.9064587541832663,2.806519046353502,0.05575825978364136,4.552900645307658,0.18306804325200177,1.0138157894736841
36,30,0.25,1.75,1.121997356863036,0.9891409340999011,2.8900187352200346,2.751975884690799,0.069339824274684,4.404678742544993,0.2150271529073468,1.1177357456140349
36,30,0.25,2.0,1.1374876360039563,0.9891196834817012,2.873392680514342,2.698361806787803,0.0834579729343192,4.259244860323196,0.2478316921661044,1.2
36,30,0.25,2.25,1.1542830605801575,0.9912898934191298,2.8534890707374556,2.6443114525143114,0.09979019982955016,4.116329900936268,0.2823999653119361,1.2625461566478278
36,30,0.25,2.5,1.1716774581218978,0.9960643552814725,2.8311964935976475,2.5906239150942527,0.11963332534544374,3.977008028709794,0.3194309454417649,1.3124037861485935
36,30,0.25,2.75,1.1860002211603482,1.0008388171438154,2.81250639746062,2.540494278581744,0.14213794119798526,3.843146466927609,0.3584448745967612,1.3560595225750622
36,30,0.25,3.0,1.19358074222668,1.003009027081244,2.8034102306920765,2.497117627030902,0.16645463910316,3.71661243887355,0.3989619948180956,1.4
36,30,0.25,3.25,1.1963238481884717,1.0028813893827098,2.8013263730349918,2.4605410685393703,0.19338276870895227,3.5984680881530675,0.4413782956410834,1.4521644061230206
36,30,0.25,3.5,1.1985300004045767,1.0025371298355208,2.7996978743378103,2.4278585048401693,0.22369264455945187,3.4867475857892964,0.4859647289969783,1.5089180561842885
36,30,0.25,3.75,1.2001220431430795,1.0020342287622979,2.7985531881244423,2.3978352104404816,0.25649130571480233,3.378776196192601,0.5320539805208582,1.5593867755673965
36,30,0.25,4.0,1.2010228206720632,1.0014306664856607,2.797920767918797,2.3692364598474907,0.29088579123514713,3.2718791837733434,0.5789787358478009,1.5926963896559359
36,30,0.25,4.25,1.2009665530365958,1.000713687633268,2.7982540933807143,2.340831471682579,0.3263312073924162,3.163582609607137,0.6261862943659608,1.6
36,30,0.25,4.5,1.1979110595254643,0.9992837421304214,2.8036650867718618,2.312408047445287,0.36554942362782494,3.0549139039811783,0.6744940551373901,1.6
36,30,0.25,4.75,1.1925468435645514,0.9977347226553106,2.811376459078518,2.2857824053155067,0.4061958622182009,2.9474134217613166,0.723676704521118,1.6
36,30,0.25,5.0,1.1864406779661016,0.9970089730807578,2.8165503489531405,2.262997800394454,0.4443061657237629,2.8420912834467336,0.7730491575148519,1.6
36,30,0.25,5.25,1.1794879178613789,0.9995651286124254,2.8187191887622984,2.243526757462941,0.4791498763664729,2.738990875448076,0.8224036697604318,1.608380681817717
36,30,0.25,5.5,1.1707224064070645,1.006488892489394,2.8205103496701938,2.225850833295627,0.512513762472987,2.6375625781766816,0.8719951331052307,1.6306818181805787
36,30,0.25,5.75,1.1604186484535304,1.0166632106346125,2.8217283785257328,2.2105268309845023,0.5442093057605655,2.5379270031327636,0.9218324168552544,1.6626420454531508
36,30,0.25,6.0,1.148851148851149,1.0289710289710292,2.822177822177822,2.1981115536215574,0.5740479879464682,2.4402047618165374,0.9719243903165098,1.7
37,20,0.25,0.0,1.0,1.0,1.0,0.478868205,0.0003778799999999,0.9555022,0.008233115,0.0
37,20,0.25,0.25,1.0046278827577877,0.9965965346534653,0.9983896827182719,0.47639430301533814,0.0004003476835248969,0.9489452261180035,0.010253649960250869,0.025000000000000005
37,20,0.25,0.5,1.0094532319085565,0.9933993399339933,0.9961183618361835,0.4737494006768972,0.00046205190297910853,0.941112702203041,0.013727846404881238,0.05
37,20,0.25,0.75,1.0145024601545518,0.9910272277227722,0.9933126125112511,0.47092045770829155,0.0005544444116813658,0.9321051688169412,0.018275502530730136,0.075
37,20,0.25,1.0,1.0198019801980196,0.99009900990099,0.99009900990099,0.4678944338331358,0.0006689769629505,0.9220231665215328,0.0235164165346366,0.1
37,20,0.25,1.25,1.0259327705127812,0.99009900990099,0.9853876012601258,0.46472219474290266,0.0008802578494414016,0.9109230221852433,0.02968942527444871,0.12394831730769232
37,20,0.25,1.5,1.0331136359279076,0.99009900990099,0.9785666066606659,0.4614404431926639,0.0012711857967922721,0.8987139723953088,0.03733140374999962,0.14639423076923078
37,20,0.25,1.75,1.0408277286785195,0.99009900990099,0.9704798604860484,0.45801489450143257,0.0018456482077969089,0.8852759222917704,0.04650920737110593,0.1682391826923077
37,20,0.25,2.0,1.0485582009997365,0.99009900990099,0.9619711971197118,0.4544112639882216,0.00260753248524911,0.8704887770146703,0.05728969154758426,0.19038461538461537
37,20,0.25,2.25,1.0557882051266798,0.99009900990099,0.9538844509450943,0.450595266972044,0.0035607260319426718,0.85423244170405,0.06973971168925125,0.21373197115384615
37,20,0.25,2.5,1.0620008932944696,0.99009900990099,0.9470634563456344,0.4465326187719126,0.004709116250671393,0.8363868214999514,0.0839261232059235,0.2391826923076923
37,20,0.25,2.75,1.066679417738226,0.99009900990099,0.9423520477047703,0.44218903470684057,0.0060565905442290695,0.8168318215424158,0.09991578150741766,0.26763822115384617
37,20,0.25,3.0,1.0693069306930694,0.99009900990099,0.9405940594059404,0.4375302300958408,0.0076070363154095,0.7954473469714854,0.1177755420035503,0.3
37,20,0.25,3.25,1.070664393203331,0.989502462207561,0.9408230217964466,0.43248452381036556,0.010723702495292807,0.7699832366677929,0.14235295670828285,0.33947115384615384
37,20,0.25,3.5,1.071792168717184,0.9879536076108697,0.9414641716027552,0.4268460405775634,0.016268950740781593,0.7387760393362945,0.1765060089636436,0.3873076923076923
37,20,0.25,3.75,1.072562513075514,0.9858136288363087,0.9424489027770522,0.42037920449999167,0.023495337543403383,0.7025857248535176,0.2173172011715494,0.44149038461538465
37,20,0.25,4.0,1.0728476821192052,0.9834437086092712,0.9437086092715228,0.4128484396802078,0.0316554193946857,0.6621722630959888,0.2618690357339172,0.5
37,20,0.25,4.25,1.0723424313284975,0.9795607971072872,0.9468556264016762,0.4037725864544239,0.04151666743650156,0.6134155945121939,0.31426246890574927,0.5806250000000001
37,20,0.25,4.5,1.0709121626410683,0.9740922375278439,0.9526760506371769,0.39280015843194455,0.054178647590701956,0.5551582050829141,0.37665436216576165,0.68
37,20,0.25,4.75,1.068685101583959,0.9692148021262702,0.9598619176614435,0.37989008962496545,0.06939205851878139,0.4926038829831195,0.44321107575144136,0.764375
37,20,0.25,5.0,1.0657894736842106,0.9671052631578948,0.9671052631578948,0.3650013140456825,0.0869075988822343,0.4309564163877798,0.5080989699002757,0.8
37,20,0.25,5.25,1.0574373236845105,0.9703849467418547,0.9742302510945515,0.3470103194974109,0.10885525688042788,0.3675304724313923,0.5755942841038796,0.8
37,20,0.25,5.5,1.0412217870233798,0.9785923141186299,0.9820103624321382,0.32502785008428087,0.1363136232115255,0.3008758272016688,0.6468676571707035,0.8
37,20,0.25,5.75,1.0208427252716121,0.9892798402255639,0.9905616083431295,0.29936422426971065,0.1674563002852158,0.23804893230340043,0.7114270483134891,0.8
37,20,0.25,6.0,1.0,1.0,1.0,0.2703297605171185,0.2004568905111876,0.1861062393413787,0.7587804167449772,0.8
37,20,0.25,6.25,0.978703594924812,1.010648202537594,1.010648202537594,0.23599080278216633,0.23572442972240487,0.14366637208797398,0.7929157361902242,0.79140625
37,20,0.25,6.5,0.9547175229741018,1.022641238512949,1.022641238512949,0.19492877087699176,0.2746261210794273,0.10557363560754854,0.8227296207089684,0.7687499999999999
37,20,0.25,6.75,0.9283726895363408,1.0358136552318296,1.0358136552318296,0.14822659704972618,0.31677281798333706,0.0732230034428813,0.8450929900159735,0.73671875
