exp,T,V,E,Ci,Ki,t,SEC,JLA,CF_LA,CA_LA,CB_LA,CF_K,CA_K,CB_K,VF,VA,VB,,,,,
14,26.6,30,0.25,3,6,5,1.251769471,563.4219585,2.1651541,0.93351515,0.024000655,1.6268869,0.02583945,1.96140272,0.86,1.1,2.17,,,,,
15,26.7,20,0.25,3,6,0,,,2.8496455,-0.00569794,-0.005563735,4.5553221,0.005453108,0.026595973,1,1,2,,,,,
15,22.5,20,0.25,3,6,3,1.738799461,70.31051885,2.33701385,0.138303595,0.000808355,3.1450429,0.013491688,0.56346774,1.18,0.89,1.85,,,,,
15,22.6,20,0.25,3,6,4,1.435288846,170.0849117,2.29388985,0.260849045,0.0048852,2.7713916,0.025784792,0.82793976,1.185,0.87,1.83,,,,,
15,23.0,20,0.25,3,6,5,1.237468026,218.6113091,2.17278555,0.409563435,0.01044025,2.3618101,0.029510648,1.47828428,1.17,0.88,1.82,,,,,
15,22.9,20,0.25,3,6,6,1.107823184,256.1773927,2.04360155,0.58070746,0.018268405,2.0399596,0.033199802,1.65023123,1.13,0.89,1.89,,,,,
15,22.5,20,0.25,3,6,7,1.006955376,290.3642052,1.9599875,0.779906565,0.02834515,1.7622396,0.036407898,1.82448675,1.09,0.89,1.9,,,,,
15,31.2,20,0.25,3,6,22.5,,,-0.0457007,2.1734492,0.185406075,0.030665018,0.059583722,2.10701808,0.24,1.02,2.66,,,,,
16,22.7,30,0.25,3,6,0,,,3.1465758,-0.005463035,-0.004927605,5.318568,0.00483156,0.023376474,1,1,3,,,,,
16,23.7,30,0.25,3,6,1,3.239008466,59.36160072,2.82672635,0.03173328,-0.00350529,4.491782,0.011720155,0.1504415,1.1,0.97,2.99,,,,,
16,26.7,30,0.25,3,6,3,1.652260279,265.5071182,2.4659539,0.36224672,0.001496155,2.917638,0.02093625,0.591294,1.1,0.98,3.07,,,,,
16,27.7,30,0.25,3,6,4,1.339004259,509.831133,2.3397953,0.65969164,0.00677165,2.2022,0.023056992,0.85872184,1.01,1.01,3.09,,,,,
16,28.4,30,0.25,3,6,5,1.157718428,619.4763686,2.1254424,0.949564765,0.01486921,1.573592,0.024310538,1.136784,0.9,1.1,3.01,,,,,
16,28.4,30,0.25,3,6,6,1.021963132,728.219711,2.09925995,1.25138586,0.024912305,1.09724768,0.024965402,1.2818016,0.78,1.19,3.01,,,,,
16,28.2,30,0.25,3,6,7,0.975568568,608.2790065,1.4578088,1.56348328,0.035674895,0.74442458,0.02529305,1.4236134,0.57,1.19,3.1,,,,,
17,24.7,10,0.25,1,2,0,,,1.009043045,0.00951979,-0.0062,1.9305,0.003631982,0.012319418,1,1,2,,,,,
17,19.6,10,0.25,1,2,1,-0.260740355,-20.91945242,0.97613953,-0.003424175,-0.0062,1.6356152,0.007262425,0.048126298,1.13,0.95,2,,,,,
17,19.3,10,0.25,1,2,3,-3.957236089,7.30733722,0.872597185,0.00623109,-0.0062,1.3009032,0.012074113,0.11311224,1.215,0.91,1.9,,,,,
17,20.5,10,0.25,1,2,4,0.055482057,674.4614614,0.4216984,0.556633515,0.026980695,0.2155118,0.038850602,0.500056,1.32,0.75,1.9,,,,,
17,20.1,10,0.25,1,2,5,0.082189393,-70.86660136,0.39190324,0.49894164,0.03427808,0.2028312,0.040631978,0.50851384,1.32,0.75,1.9,,,,,
