exp,V,E,t,VF,VA,VB,CF_LA,CA_LA,CF_K,CB_K,I
15,20,0.25,4.5,1.0796415219366478,0.9363898601372432,1.9855504002696422,0.7605075141756523,0.18696865239047566,0.9073234117563905,0.5106281168157037,0.8996000000000001
15,20,0.25,4.75,1.0749845510628429,0.937704111174544,1.989427703953729,0.7387180697447715,0.2114305396208,0.8601394690052103,0.5352998330998077,0.8986500000000001
15,20,0.25,5.0,1.0689321770490485,0.9395222858604615,1.9940451437568139,0.7148472090994435,0.23789170906986049,0.8137298009716507,0.5595605153641252,0.8968
15,20,0.25,5.25,1.06153243485437,0.9418318206759747,1.9993818943716224,0.6889279120881862,0.26632671320065543,0.7682211880086146,0.5833253996079516,0.89375
15,20,0.25,5.5,1.0528333594379145,0.944620152102062,2.00541713049088,0.6609931585595171,0.296710104476183,0.7237404104690052,0.6065097218305824,0.8892
15,20,0.25,5.75,1.0428829857587882,0.9478747166197024,2.0121300268073115,0.6310759283619547,0.32901643535944164,0.6804142487057255,0.6290287180313127,0.88285
15,20,0.25,6.0,1.0317293487760977,0.9515829507098743,2.0194997580136427,0.5992092013440168,0.3632202583134294,0.6383694830716786,0.6507976242094382,0.8744000000000001
15,20,0.25,6.25,1.0194204834489489,0.9557322908535568,2.027505498802598,0.5654259573542211,0.3992961258011446,0.5977328939197675,0.671731676364254,0.86355
15,20,0.25,6.5,1.0060044247364492,0.9603101735317285,2.0361264238669046,0.5297591762410859,0.4372185902855855,0.5586312616028956,0.6917461104950557,0.8500000000000001
15,20,0.25,6.75,0.991529207597704,0.9653040352253682,2.045341707899286,0.4922418378531291,0.4769622042297504,0.5211913664739656,0.7107561626011385,0.83345
15,20,0.25,7.0,0.9760428669918207,0.9707013124154544,2.0551305255924674,0.45290692203886823,0.5185015200966374,0.48553998888588085,0.7286770686817978,0.8136000000000001
15,20,0.25,7.25,0.959593437877905,0.9764894415829661,2.0654720516391762,0.41178740864682173,0.5618110903492449,0.45180390919154434,0.7454240647363289,0.79015
15,20,0.25,7.5,0.9422289552150639,0.9826558592088819,2.076345460732136,0.3689162775255074,0.6068654674505711,0.42010990774385937,0.7609123867640275,0.7628
