,Reaction,Value,Number
157,C2H6 + H => CH4 + CH3,8.97d-20 * exp(-48.64/(R*Tgas)),78
158,C2H6 => CH3 + CH3,1.80d21 * Tgas**(-1.24) * exp(-45700./Tgas),61
159,C2H6 + C4H9 => C4H9H + C2H5,8.30d-13 * exp(-62.77/(R*Tgas)),79
160,C2H6 + CH => C2H4 + CH3,1.79d-10 * exp(132.36/Tgas),61
161,C2H6 + CH2 => C2H5 + CH3,9.00d-33 * Tgas**6.43,66
162,C2H5 + C2H5 => C2H6 + C2H4,2.41d-12,54
163,C2H5 + C2H4 => C2H6 + C2H3,5.83d-14 * (Tgas/298.)**3.13 * exp(-75.33/(R*Tgas)),55
164,C2H5 + C2H2 => C2H6 + C2H,4.50d-13 * exp(-98.11/(R*Tgas)),55
165,C2H5 + C2H => C2H4 + C2H2,3.01d-12,55
166,C2H5 + C3H8 => C2H6 + C3H7,1.61d-15 * (Tgas/298.)**3.65 * exp(-38.25/(R*Tgas)),56
167,C2H5 + C3H7 => C3H8 + C2H4,1.91d-12,56
168,C2H5 + C3H7 => C3H6 + C2H6,2.41d-12,56
169,C2H5 + C3H6 => C3H5 + C2H6,1.69d-15 * (Tgas/298.)**3.50 * exp(-35.34/(R*Tgas)),57
170,C2H5 + H2 => C2H6 + H,4.12d-15 * (Tgas/298.)**3.60 * exp(-27.77/(R*Tgas)),55
171,C2H5 + H => CH3 + CH3,5.99d-11,54
172,C2H5 + H => C2H4 + H2,3.32d-12,55
173,C2H5 + H => C2H6,8.65d-7 * Tgas**(-0.99) * exp(-795.17/Tgas),80
174,C2H5 => C2H4 + H,4.08d12 * (Tgas/298.)**1.04 * exp(-154./(R*Tgas)),61
175,C2H5 + C2H5 => C4H9H,9.55d-12,54
176,C2H5 + C4H9 => C2H4 + C4H9H,1.40d-12,59
177,C2H5 + C2H3 => C2H4 + C2H4,4.42d-11,82
178,C2H4 + H => C2H3 + H2,9.00d-10 * exp(-62.36/(R*Tgas)),54
179,C2H4 + H => C2H5,9.68d-12 * (Tgas/298.)**1.28 * exp(-5.40/(R*Tgas)),47
180,C2H4 + H2 => C2H5 + H,9.55d-12,54
181,C2H4 => C2H3 + H,4.30d-7 * exp(-404./(R*Tgas)),61
182,C2H4 + C3H6 => C3H5 + C2H5,9.60d-11 * exp(-216./(R*Tgas)),57
183,C2H4 + C2H2 => C2H3 + C2H3,4.00d-11 * exp(-286./(R*Tgas)),64
184,C2H4 + C3H6 => C2H3 + C3H7,1.00d-10 * exp(-316./(R*Tgas)),57
185,C2H4 + C2H4 => C2H5 + C2H3,8.00d-10 * exp(-299./(R*Tgas)),55
