number,value,datetime_start,datetime_complete,duration,params_batch_size,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,params_noam_factor,params_warmup_ratio,state
80,0.014288669312372803,2025-08-15 09:29:16.765636,2025-08-15 09:35:16.425204,0 days 00:05:59.659568,16,0.1,96,2,0.2,96,4,0.1,96,5,1.7000000000000002,0.15000000000000002,COMPLETE
81,0.014093114028219134,2025-08-15 09:35:16.446735,2025-08-15 09:40:02.281079,0 days 00:04:45.834344,16,0.1,96,2,0.1,128,4,0.1,64,4,1.9000000000000001,0.2,COMPLETE
82,0.011374768801033497,2025-08-15 09:40:02.301721,2025-08-15 09:47:33.409642,0 days 00:07:31.107921,8,0.1,96,2,0.1,128,4,0.1,64,4,2.0,0.2,COMPLETE
83,0.06266484833322464,2025-08-15 09:47:33.430330,2025-08-15 09:55:23.164834,0 days 00:07:49.734504,8,0.1,96,2,0.1,128,4,0.1,64,6,2.0,0.2,COMPLETE
84,0.011939017754048108,2025-08-15 09:55:23.186339,2025-08-15 10:03:57.105320,0 days 00:08:33.918981,8,0.1,96,2,0.1,128,4,0.1,64,4,2.0,0.2,COMPLETE
85,0.014146953588351607,2025-08-15 10:03:57.127845,2025-08-15 10:11:04.396794,0 days 00:07:07.268949,8,0.1,96,2,0.1,128,4,0.1,64,4,1.9000000000000001,0.2,COMPLETE
86,0.016963156654189033,2025-08-15 10:11:04.410701,2025-08-15 10:20:02.342297,0 days 00:08:57.931596,8,0.1,48,2,0.6,32,4,0.1,128,4,1.6,0.2,COMPLETE
87,0.01485397630992035,2025-08-15 10:20:02.364345,2025-08-15 10:26:07.273034,0 days 00:06:04.908689,8,0.2,96,2,0.1,128,4,0.1,32,4,1.8,0.15000000000000002,COMPLETE
88,0.013605158496648073,2025-08-15 10:26:07.292831,2025-08-15 10:33:54.137042,0 days 00:07:46.844211,8,0.1,32,2,0.2,64,4,0.1,64,4,1.4,0.2,COMPLETE
89,0.012093962193466722,2025-08-15 10:33:54.157724,2025-08-15 10:42:01.331617,0 days 00:08:07.173893,8,0.1,96,2,0.1,128,3,0.5,64,4,1.7000000000000002,0.25,COMPLETE
90,0.01420053243637085,2025-08-15 10:42:01.353760,2025-08-15 10:48:45.609368,0 days 00:06:44.255608,8,0.2,128,2,0.1,96,3,0.5,32,4,1.7000000000000002,0.25,COMPLETE
91,0.012748596700839701,2025-08-15 10:48:45.632232,2025-08-15 10:57:44.533363,0 days 00:08:58.901131,8,0.1,96,2,0.1,128,3,0.4,64,4,1.5,0.25,COMPLETE
92,0.013020503940060735,2025-08-15 10:57:44.555250,2025-08-15 11:07:07.244950,0 days 00:09:22.689700,8,0.1,96,2,0.1,128,3,0.5,64,4,1.6,0.25,COMPLETE
93,0.012416517579307158,2025-08-15 11:07:07.266572,2025-08-15 11:15:48.440644,0 days 00:08:41.174072,8,0.1,96,2,0.1,128,4,0.1,64,4,1.8,0.25,COMPLETE
94,0.011580020546292267,2025-08-15 11:15:48.462190,2025-08-15 11:23:56.563130,0 days 00:08:08.100940,8,0.1,96,2,0.1,128,4,0.30000000000000004,64,4,1.7000000000000002,0.2,COMPLETE
95,0.01844159682746977,2025-08-15 11:23:56.574836,2025-08-15 11:36:12.622190,0 days 00:12:16.047354,4,0.5,96,2,0.1,128,3,0.4,64,4,1.8,0.2,COMPLETE
96,0.05278309253044426,2025-08-15 11:36:12.632380,2025-08-15 11:43:20.189475,0 days 00:07:07.557095,8,0.1,64,2,0.1,128,4,0.30000000000000004,48,4,1.9000000000000001,0.2,COMPLETE
97,0.19309392366558314,2025-08-15 11:43:20.200052,2025-08-15 11:48:11.182650,0 days 00:04:50.982598,8,0.1,96,3,0.5,128,4,0.5,64,4,1.7000000000000002,0.2,COMPLETE
98,0.012334920551317434,2025-08-15 11:48:11.203569,2025-08-15 11:56:44.993241,0 days 00:08:33.789672,8,0.1,96,2,0.2,32,4,0.4,96,4,2.0,0.25,COMPLETE
99,0.015467065681392948,2025-08-15 11:56:45.015794,2025-08-15 12:02:09.561637,0 days 00:05:24.545843,8,0.1,96,2,0.1,128,4,0.30000000000000004,64,4,1.1,0.2,COMPLETE
100,0.015156548772938549,2025-08-15 12:02:09.584169,2025-08-15 12:14:01.857009,0 days 00:11:52.272840,4,0.2,96,2,0.1,64,5,0.2,64,4,1.7000000000000002,0.2,COMPLETE
101,0.1054177845440184,2025-08-15 12:14:01.879021,2025-08-15 12:21:08.636115,0 days 00:07:06.757094,8,0.1,96,2,0.1,128,4,0.1,64,4,1.6,0.15000000000000002,COMPLETE
102,,2025-08-15 12:21:08.646542,2025-08-15 12:21:10.462093,0 days 00:00:01.815551,8,0.1,96,2,0.1,128,4,0.1,64,4,1.7000000000000002,0.15000000000000002,FAIL
