V,E,time,CFLA,CALA,CBLA,CFK,CAK,CBK,VF,VA,VB,I,exp
30,0.25,2.0,0.43319707319338824,0.04655223026219162,0.005517745644019003,0.34383459798097027,0.0026194706742512478,0.37885947264224784,1.0,0.98989898989899,2.01010101010101,1.0,9
30,0.25,3.0,0.30310448802188616,0.16044560114731546,0.006040339780021711,0.17377824815308246,0.004816549998144757,0.4741227107704065,1.0430379746835443,1.0126582278481011,1.9443037974683544,1.4,9
30,0.25,4.0,0.012655107667677105,0.4192089727333314,0.010158878068735527,0.001986984375044654,0.007345128273247273,0.6083397843470065,1.1027568922305764,1.0927318295739348,1.8045112781954884,0.8,9
30,0.25,0.0,2.22954885,0.0005113999999999995,0.00019979999999999998,5.6017698000000005,0.0023571430000000008,0.582835459,1.0,1.0,2.0,0.0,10
30,0.25,0.5,2.0741332466635494,0.004477520311887351,0.0014046453413311837,4.376231583300675,0.004496989968468364,1.0554945225875536,1.0719602977667497,0.9627791563275435,1.9652605459057075,1.2,10
30,0.25,1.0,2.01247164324547,0.016413751655658438,0.0023545315619494704,3.9862165106921994,0.006579041007225049,1.2268384929695022,1.09823677581864,0.9571788413098237,1.9445843828715366,1.5,10
30,0.25,1.5,1.9152918235316096,0.03982487568036392,0.0037887985776684755,3.6182462945180687,0.008803497855970054,1.3640745296110426,1.1414141414141412,0.9292929292929293,1.9292929292929293,1.9,10
30,0.25,2.0,1.8613666817137726,0.07814640325044886,0.0031106556580367964,3.558751327300852,0.012427323297133806,1.3822350508433938,1.156010230179028,0.9309462915601022,1.9130434782608694,2.1,10
30,0.25,2.5,1.8230898913753282,0.12531807394037678,0.003934393390713076,3.2936662997139456,0.014807497483281362,1.5331424163381857,1.156010230179028,0.9207161125319693,1.9232736572890026,2.4,10
30,0.25,3.0,1.7481532257015813,0.2027530992854138,0.006038317056634947,3.015993916021167,0.015225473994480503,1.699920628023414,1.1619537275064267,0.9254498714652956,1.9125964010282777,2.6,10
30,0.25,3.5,1.7336398758412261,0.27149165169236,0.00801113705298073,2.7814510967714856,0.017576354995038505,1.8659775161321175,1.1311053984575836,0.9357326478149101,1.9331619537275064,2.8,10
30,0.25,4.0,1.680734778440446,0.3566880108294485,0.010744427564481912,2.583743506407103,0.019743506285903174,1.998987719397499,1.1134020618556701,0.9484536082474226,1.9381443298969072,2.9,10
30,0.25,0.0,0.9947465,4.999999999999796e-06,4.999999999999796e-06,1.9195735999999999,0.00012615100000000013,0.00911753,1.0,1.0,2.0,0.0,11
30,0.25,1.0,0.9173824405342099,0.015616562424525809,0.0015112932415644268,0.9851078966431482,0.0023965391438259993,0.4614077082400201,1.0639386189258313,1.0127877237851661,1.9232736572890026,0.9,11
30,0.25,2.0,0.8759613056634457,0.07674422232248117,0.002831915248182759,0.6927058035398447,0.004294343823680364,0.6221805208292747,1.0408163265306123,1.010204081632653,1.948979591836735,1.4,11
30,0.25,3.0,0.7843056252200117,0.20329997993207785,0.00677384558903617,0.4672063296211162,0.00559474131126561,0.7373653422264038,0.9872773536895674,1.0178117048346056,1.994910941475827,1.8,11
30,0.25,4.0,0.5399556041722089,0.4650838862400483,0.014057851240820575,0.2716952464157032,0.00854798925266963,0.8289826802142792,0.8244274809160306,1.1195928753180662,2.055979643765903,1.8,11
30,0.25,5.0,0.039480121703317016,0.7157416191412647,0.020611444269323705,0.1190702310494904,0.009857379336776806,0.9165647179121518,0.6965174129353234,1.2935323383084578,2.009950248756219,1.5,11
30,0.25,0.0,0.9820238299999999,4.999999999999796e-06,4.999999999999796e-06,1.9140164,0.00015212599999999982,0.009156004,1.0,1.0,2.0,0.0,12
30,0.25,1.0,0.9133431141673051,0.0015212594229036239,0.0007589342324673367,1.7535740736893577,0.0010779653722912922,0.026554567705064102,1.0719602977667493,0.9826302729528535,1.945409429280397,0.3,12
30,0.25,2.0,0.8274770785051369,0.024174526297689184,0.00276896732856038,0.919937707466396,0.003571196502198235,0.45598107598240967,1.1528822055137844,0.9423558897243107,1.9047619047619049,0.5,12
30,0.25,3.0,0.7889339302906875,0.06404639917409777,0.003827608360136904,0.794697936206547,0.0053835363969465975,0.5313956272044367,1.1586901763224182,0.947103274559194,1.894206549118388,0.7,12
30,0.25,4.0,0.7426286952462753,0.131319171976489,0.005323264641540174,0.6802335296521563,0.007015199853563941,0.6009807083525956,1.141388174807198,0.9460154241645243,1.9125964010282774,0.8,12
30,0.25,5.0,0.6788978535726277,0.23446972511242545,0.007363866344471361,0.5152877264660244,0.008949247934968731,0.7070505852970962,1.085427135678392,0.9849246231155778,1.92964824120603,0.9,12
30,0.25,6.0,0.5546993325422033,0.3764950328782809,0.01035682452942531,0.3913273402747706,0.011213079525998529,0.7859162861059708,1.0288713910761156,1.0393700787401576,1.931758530183727,1.0,12
30,0.25,7.0,0.3814191683567824,0.5752652449802097,0.0148596808411663,0.28305573801577,0.012504610354454174,0.8150963983374249,0.9326424870466321,1.0362694300518136,2.0310880829015545,1.0,12
30,0.25,0.0,0.9849165599999999,0.0015706699999999997,4.999999999999796e-06,1.8834661,0.005309320000000001,0.009511966,1.0,1.0,2.0,0.0,13
30,0.25,1.0,0.9135816891149514,0.005034102270371001,0.0011448845577476119,1.1131509871315244,0.004474711539869225,0.36503817174157316,1.0719602977667493,0.9826302729528535,1.945409429280397,0.2,13
30,0.25,3.0,0.8407750949129752,0.01274392940763774,0.002715965332578469,0.9111029167471687,0.0064076337315608165,0.4469675387647836,1.1528822055137844,0.9423558897243107,1.9047619047619049,0.3,13
30,0.25,5.0,0.8246907190774528,0.023736358711494238,0.004463828003789606,0.798309330452036,0.008034031849746581,0.5148314557986154,1.1586901763224182,0.947103274559194,1.894206549118388,0.2,13
30,0.25,7.0,0.8181904804432825,0.042877450905334305,0.0063063806720693215,0.6840008523304367,0.01054265995868428,0.5840831594468955,1.141388174807198,0.9460154241645243,1.9125964010282774,0.3,13
30,0.25,0.0,2.913728125,0.0018566449999999999,0.001094335,5.1710322,0.006634850000000001,0.57867212,1.0,1.0,2.0,0.0,14
30,0.25,1.0,2.772705009588638,0.055045623666410144,0.003071844070035801,3.9008960899124587,0.007472296568271961,1.1387107364436966,1.0313253012048194,0.944578313253012,2.0240963855421685,1.6,14
30,0.25,3.0,2.3973455880500847,0.37497485236166367,0.01139652893595443,2.7342951221199794,0.01468445827305611,1.7271769501216339,1.057934508816121,0.9571788413098237,1.9848866498740556,2.6,14
30,0.25,4.0,2.0559424751495508,0.810650095114047,0.017351183178224507,2.2644216929908656,0.01695927962599385,1.995391097310917,1.0194174757281553,0.970873786407767,2.009708737864078,2.8,14
30,0.25,6.0,1.9514149816611552,1.221287531517345,0.04328617782832735,1.401341525606799,0.020088966913356772,2.479596297775251,0.7389162561576353,1.133004926108374,2.12807881773399,2.8,14
30,0.25,7.0,1.5715666520771818,1.5025932648364455,0.05592836599549087,1.1215679750317682,0.02080604876832822,2.6323915711049093,0.5459057071960299,1.2903225806451615,2.163771712158809,2.6,14
30,0.25,0.0,0.988266015,0.0003971399999999998,0.0004249850000000001,1.9334700999999999,0.00028413699999999984,0.011451507,1.0,1.0,2.0,0.0,15
30,0.25,1.0,0.9144357427008419,0.014003709234873483,0.002406360453243863,1.684151584656924,0.0036054377672078254,0.08371548272107443,1.0620347394540945,0.9727047146401987,1.9652605459057075,0.8,15
30,0.25,3.0,0.8682777489029869,0.08016749821653936,0.004010160549840937,1.351592581152516,0.008528357529465585,0.2740622102133872,1.04,0.98,1.98,1.8,15
30,0.25,4.0,0.781919564293199,0.22560338621975923,0.006092165799083862,0.7676564629370035,0.01417350168498776,0.5964440524682995,0.9559684398065665,1.0180707559175362,2.025960804275897,1.8,15
