exp,T,V,E,CF_LA,CF_K,CA_LA,CB_K,dNLA,dNK,dVF,dVA,dVB
2,23.2875,10,0.25,0.422050704,0.773610353,0.025087854,0.136240479,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.420651587,0.770660475,0.027118893,0.14030485,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.419250451,0.76770634,0.029153652,0.144360014,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.417847293,0.76474794,0.031192144,0.148406002,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.416442106,0.761785265,0.033234377,0.152442846,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.415034888,0.758818306,0.035280362,0.156470575,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.413625633,0.755847053,0.037330109,0.160489222,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.412214338,0.752871497,0.03938363,0.164498817,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.410800997,0.749891629,0.041440934,0.16849939,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.409385607,0.74690744,0.043502031,0.172490971,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.407968162,0.74391892,0.045566933,0.176473592,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.406548659,0.740926059,0.04763565,0.180447282,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.405127093,0.737928848,0.049708192,0.184412071,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.403703459,0.734927279,0.05178457,0.188367989,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.402277753,0.73192134,0.053864794,0.192315066,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.40084997,0.728911023,0.055948877,0.196253332,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.399420106,0.725896318,0.058036827,0.200182815,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.397988156,0.722877215,0.060128656,0.204103546,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.396554116,0.719853705,0.062224375,0.208015553,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.395117981,0.716825778,0.064323994,0.211918865,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.393679747,0.713793425,0.066427525,0.215813512,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.392239409,0.710756636,0.068534978,0.219699522,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.390796961,0.7077154,0.070646365,0.223576924,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.389352401,0.704669709,0.072761696,0.227445747,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.387905722,0.701619552,0.074880982,0.231306019,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.386456921,0.69856492,0.077004235,0.235157768,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.385005992,0.695505802,0.079131466,0.239001022,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.383552932,0.692442189,0.081262686,0.242835811,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.382097734,0.689374072,0.083397906,0.24666216,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.380640396,0.686301439,0.085537137,0.250480099,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.379180911,0.683224281,0.087680391,0.254289655,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.377719275,0.680142589,0.089827679,0.258090856,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.376255483,0.677056351,0.091979013,0.261883729,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.374789531,0.673965558,0.094134403,0.265668301,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.373321414,0.6708702,0.096293862,0.2694446,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.371851126,0.667770267,0.098457401,0.273212653,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.370378664,0.664665748,0.100625032,0.276972486,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.368904022,0.661556634,0.102796765,0.280724127,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.367427196,0.658442914,0.104972614,0.284467602,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.36594818,0.655324578,0.107152588,0.288202939,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.36446697,0.652201615,0.109336702,0.291930162,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.362983561,0.649074016,0.111524965,0.2956493,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.361497948,0.64594177,0.11371739,0.299360378,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.360010126,0.642804866,0.115913989,0.303063422,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.358520089,0.639663295,0.118114773,0.306758459,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.357027834,0.636517046,0.120319755,0.310445514,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.355533356,0.633366108,0.122528947,0.314124613,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.354036648,0.63021047,0.124742361,0.317795782,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
